nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,demand_per_capita,population,demand_ci_lo,demand_ci_hi,cluster_confidence,latent_demand_score,halal_cuisine_diversity_norm,total_restaurants,halal_restaurants,critical_rate,grade_a_rate,inspection_frequency,viability_score,risk_bucket,final_score,similar_ntas,rank
MN99,0,Low Demand,0.2069062323168662,0.0,0.3239993384427695,0.0,0.0478822010922049,148071.0,0.1359861775446653,0.3080686155794019,0.525775250725472,0.3905671401890299,0.0,4,0,0.0,1.0,1.0,1.0,Low,0.4123622283038543,"SI08,BK23,BK46",58
QN55,1,Growing Market,0.504439034814834,0.0098039215686274,0.4772566117158857,1.0,0.607394886211532,148071.0,0.4096998561986499,0.4998712746361263,0.2337072048038314,0.4392169433176668,0.2,102,1,0.5474747474747474,0.24242424242424243,4.852941176470588,0.08947041244775582,High,0.41057234110183904,"SI12,BK28,QN53",59
QN05,2,Established Hub,0.6873354742309443,0.0555555555555555,0.2296594947415837,1.0,0.1450219436548971,170338.0,0.5148767377548442,0.7067016836234193,0.1433051645714757,0.3917583686624155,0.2,18,1,0.4827586206896552,0.3620689655172414,3.2222222222222223,0.21860151155931248,High,0.4105182899008738,"QN41,BK19,BK29",60
QN54,3,High Opportunity,0.4142883623681051,0.0,0.5257734844866225,0.0,0.180575046842537,148071.0,0.3173435062396676,0.465352187374758,0.4465254893903397,0.5160036132167658,0.0,52,0,0.5219298245614035,0.32894736842105265,4.384615384615385,0.16851552398554054,High,0.40972784353899916,"MN35,MN25,MN17",61
SI08,0,Low Demand,0.2364028938107476,0.0,0.2845047268072408,0.0,0.028488469419554,148071.0,0.1224192917228324,0.3421374590934541,0.8802265665785557,0.2608811727045429,0.0,4,0,0.0,1.0,1.0,1.0,Low,0.4083630482471954,"MN99,BK23,BK46",62
SI37,0,Low Demand,0.492260113737192,0.0,0.4142505517418533,0.0,0.067979171780002,148071.0,0.3323397257718228,0.5912790902535299,0.4820094992692021,0.1577819822610199,0.0,23,0,0.5633802816901409,0.38028169014084506,3.0869565217391304,0.17722867647879376,High,0.39805000148737685,"BK81,SI11,SI28",63
QN41,1,Growing Market,0.5354803784761076,0.032258064516129,0.3419540701786794,1.0,0.2821792982495822,148071.0,0.4130505204466594,0.5485442890804548,0.3859116943765674,0.4741828380927619,0.2,31,1,0.5348837209302325,0.4186046511627907,4.161290322580645,0.22382989389383598,High,0.395739758240682,"QN05,BK19,BK41",64
BK28,1,Growing Market,0.5263723866008301,0.0136986301369863,0.4231904037380524,1.0,0.246558688505811,148071.0,0.4030749405314785,0.5467778842184863,0.2212477786324014,0.3542641735926695,0.2,146,2,0.5428571428571428,0.21714285714285714,4.794520547945205,0.07452385267152024,High,0.3947298866698571,"QN55,SI05,SI12",65
MN20,1,Growing Market,0.4311761911944355,0.0115606936416184,0.4650317283847622,2.0,0.5372838901502807,148071.0,0.3585866222633515,0.4473943450651035,0.6459652083984585,0.5519439468669889,0.4,173,2,0.5155440414507773,0.3316062176165803,4.46242774566474,0.17472265298280099,High,0.3934276984282393,"MN13,BK64,MN35",66
SI05,0,Low Demand,0.528767753165599,0.0128205128205128,0.3647674818752662,1.0,0.0480212440870798,148071.0,0.3482448841898587,0.6651706317774464,0.1443495196008764,0.2096461527524351,0.2,78,1,0.5272108843537415,0.3129251700680272,3.769230769230769,0.15350661223288503,High,0.38811541646292314,"BK28,QN37,QN55",67
MN11,3,High Opportunity,0.3989419429007211,0.0,0.5245570554963342,0.0,0.274998350816945,120511.0,0.3145181382969469,0.4453224614225549,0.4047991432878084,0.5363916713011532,0.0,111,0,0.5241635687732342,0.21933085501858737,4.846846846846847,0.0886969636107486,High,0.38713899208097186,"BK64,BK35,SI28",68
BK64,1,Growing Market,0.4145176962371758,0.0075187969924812,0.4788426249449633,1.0,0.2598871603745177,148071.0,0.3292724731016667,0.4534827067532631,0.3596053251217416,0.5394446556357623,0.2,133,1,0.5653846153846154,0.32884615384615384,3.9097744360902253,0.13913027313666604,High,0.3851701831001889,"MN11,MN13,MN20",69
MN13,1,Growing Market,0.4089196643031852,0.011070110701107,0.4658898855557746,2.0,0.9291869118778064,148071.0,0.354272503632618,0.4202200896535083,0.6068862950434373,0.5790088558520725,0.4,271,3,0.5311387900355872,0.34430604982206403,4.14760147601476,0.17327599137956134,High,0.38457901821949625,"MN20,BK64,MN35",70
QN21,0,Low Demand,0.3585080544625918,0.0,0.3920124560453933,0.0,0.0983357747569213,148071.0,0.2569014152636371,0.4377131469393804,0.6966996505939703,0.3103011138953598,0.0,23,0,0.3880597014925373,0.5522388059701493,2.9130434782608696,0.41834211032763347,Medium,0.38387662626872077,"MN99,SI08,QN08",71
BK32,0,Low Demand,0.3861768027350923,0.0,0.4539684830323135,0.0,0.1151249413769911,148071.0,0.281553423733452,0.4574149643207169,0.1706422703261199,0.4028310443201571,0.0,55,0,0.5056818181818182,0.4090909090909091,3.2,0.236731614713509,High,0.3834044372496641,"MN09,BX26,MN21",72
BK85,0,Low Demand,0.4072048005284418,0.0,0.4054752383909706,0.0,0.0137396807454601,148071.0,0.1731132632120483,0.6007740195934201,0.657879049328302,0.2663808096881571,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.38218886877563846,"QN08,MN21,MN09",73
SI28,0,Low Demand,0.4528364579409417,0.0,0.4484397322760159,0.0,0.0847129874499792,148071.0,0.3130091384555125,0.5356096879176087,0.4414607064703166,0.2908808955639236,0.0,31,0,0.5384615384615384,0.25961538461538464,3.3548387096774195,0.1078320013365227,High,0.3820768763540876,"MN11,BK35,BK64",74
MN19,1,Growing Market,0.3855387787736754,0.011204481792717,0.4122609468917024,2.0,0.839662879401482,148071.0,0.3373128118762615,0.404611969604679,0.73195639411333,0.5003011207918933,0.4,357,4,0.4872427983539095,0.47160493827160493,3.403361344537815,0.29383087900934507,High,0.3778860660680201,"MN99,QN21,SI08",75
MN09,0,Low Demand,0.3401515668762906,0.0,0.4470345022145748,0.0,0.4257570201120374,110193.0,0.2871599906076805,0.3886958629723069,0.0482171088146009,0.4568682167785679,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.3719912808442197,"MN21,QN50,QN08",76
MN23,1,Growing Market,0.415047085821584,0.0164835164835164,0.4175532767781948,2.0,1.1959142097795066,148071.0,0.3621772198070909,0.4207980516730084,0.6962113782775242,0.5554717747534013,0.4,182,3,0.5293255131964809,0.3592375366568915,3.7472527472527473,0.18516644777957458,High,0.3700734345958264,"SI01,QN31,MN27",77
QN08,0,Low Demand,0.3696404068633889,0.0,0.3946117246675522,0.0,0.0572296293190872,148071.0,0.2366588839995186,0.4701054354648551,0.7007307612424095,0.2992257332832365,0.0,26,0,0.4945054945054945,0.5054945054945055,3.5,0.3131429817205109,High,0.3683294489564786,"BK85,MN21,QN21",78
BK19,2,Established Hub,0.6646029857418384,0.0704225352112676,0.1541022795272241,2.0,0.2867226541396172,148071.0,0.5060642565386486,0.6518197574567137,0.703207005228699,0.5101828064918692,0.4,71,5,0.5670498084291188,0.367816091954023,3.676056338028169,0.16584773446845108,High,0.36065165300131524,"BK29,SI36,BK31",79
MN21,0,Low Demand,0.3411198851405583,0.0,0.4046997063750443,0.0,0.2415047408173289,148071.0,0.2799854825619316,0.3958028627012144,0.5256250133439333,0.3638304295517734,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.35544468981411453,"QN50,MN09,QN08",80
BK35,0,Low Demand,0.3697963868721022,0.0,0.452719852662731,0.0,0.1911908629193918,148071.0,0.290548181783965,0.425840732592719,0.108359155307626,0.4247004338936173,0.0,66,0,0.5306859205776173,0.27075812274368233,4.196969696969697,0.12103768350763816,High,0.3532140325154609,"BK88,QN38,MN11",81
BK29,2,Established Hub,0.5988620593382075,0.05,0.1862936148543928,2.0,0.2127706578824159,148071.0,0.4509926138403465,0.6142779708611124,0.1996525995693379,0.3380599848849664,0.4,80,4,0.5191082802547771,0.34394904458598724,3.925,0.18113626345693665,High,0.3502895223684274,"BK19,SI36,BK31",82
BK41,2,Established Hub,0.810045521048644,0.15,0.0,5.0,0.3467237242156742,148071.0,0.6197643329306723,0.7554305320793655,0.4103175538974086,0.4207718928472904,1.0,60,9,0.5,0.23550724637681159,4.6,0.11655345236598215,High,0.34732889889265406,"BK19,SI36,BK31",83
BX14,0,Low Demand,0.4151187915293519,0.0,0.3534434424550815,0.0,0.043403225113074,148071.0,0.2515762704501969,0.5354829173104974,0.6295786309075072,0.1419464327813402,0.0,22,0,0.4927536231884058,0.3188405797101449,3.1363636363636362,0.18097622578946562,High,0.3436201387516665,"BX41,BX63,BK88",84
