nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,demand_per_capita,population,demand_ci_lo,demand_ci_hi,cluster_confidence,latent_demand_score,halal_cuisine_diversity_norm,total_restaurants,halal_restaurants,critical_rate,grade_a_rate,inspection_frequency,viability_score,final_score,similar_ntas,rank,high_risk_prob,risk_bucket,risk_component,risk_confidence,halal_demand_forecast,new_halal_entry_forecast,moran_ii,moran_p,moran_q,lisa_opportunity,halal_demand_forecast_norm,final_score_adjusted
QN35,3,High Opportunity,0.5742485350747423,0.0,0.6034438521512003,0.0,0.4210117668321063,148071.0,0.4494605323068043,0.5639270437296819,0.7489349979718536,0.4440921481107097,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.5281938080982505,"BK25,QN06,MN28",14,1.123084119500405e-97,Low,Medium-Low Risk,Low confidence,0.5444871727279005,0.0,0.0,1.0,LL,False,0.5001664892016467,0.5546122923597055
BK27,3,High Opportunity,0.6149994810235557,0.0,0.5624179837733725,0.0,0.2642171475404381,148071.0,0.4678971267858967,0.6160075054659508,0.188223629660875,0.2942120977613095,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.5280838391266447,"QN06,BK40,SI07",15,3.532798198016734e-99,Low,Medium-Low Risk,Low confidence,0.5082989536764628,0.0,0.0,1.0,LL,False,0.4574931143062913,0.5522433111443318
BK40,0,Low Demand,0.6333881622284144,0.0,0.5385998737707884,0.0,0.059573496946978,148071.0,0.4564978716052034,0.7644938395329591,0.0511055460170781,0.2151019824390422,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.5259120676075546,"BK27,BX34,SI07",16,7.225821295916371e-100,Low,Medium-Low Risk,Low confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.5469858782704513
MN28,3,High Opportunity,0.5388187650526586,0.0,0.5953555192353929,0.0,0.286882015304036,148071.0,0.415797965741527,0.5505633901130662,0.7801000582146153,0.4797388452249296,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.510786566923094,"QN35,BK25,BK09",17,2.1302140659773805e-96,Low,Medium-Low Risk,Low confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.5312542839873861
QN56,3,High Opportunity,0.7391809421026736,0.0,0.672070802720035,0.0,0.1622183570217027,148071.0,0.5585730601035573,0.7545544441435282,0.4708322777096825,0.3451581848151545,0.0,32,0,0.5285714285714286,0.2785714285714286,4.375,0.1280459876418654,0.5901098954574565,"QN30,BX29,BK58",18,1.0000000000000002,High,Medium-High Risk,High confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.5216927494639366
QN17,1,Growing Market,0.7292050519106005,0.019047619047619,0.6236496522997139,2.0,0.9001782548209537,148071.0,0.5708367977054007,0.655112965569427,0.142791866194306,0.5728300652153528,0.4,105,2,0.5236051502145923,0.2918454935622318,4.438095238095238,0.1408792501523403,0.5693177317145939,"BK61,BK42,SI45",19,1.0,High,Medium-High Risk,High confidence,0.6766899118404798,0.0,0.0,1.0,LL,False,0.6560607884023102,0.5156681703506125
MN14,3,High Opportunity,0.6540133090203538,0.0116279069767441,0.6650013725087672,1.0,0.4361353806802888,148071.0,0.5061952825507001,0.6239887452775279,0.2661232903824356,0.651414377222322,0.2,86,1,0.4724919093851132,0.343042071197411,3.5930232558139537,0.2119339300632639,0.5699926586243012,"QN33,QN44,SI14",20,1.0,High,Medium-High Risk,High confidence,0.654751648207614,0.0,0.0,1.0,LL,False,0.6301910503191029,0.5150261229687292
BK60,3,High Opportunity,0.6267680711896088,0.0,0.6821387683574991,0.0,0.3301544689140505,148071.0,0.481235467724619,0.6147059059022606,0.9128146004351964,0.5355581029482767,0.0,86,0,0.506631299734748,0.2864721485411141,4.383720930232558,0.14849035892027,0.5532608076028972,"MN40,QN20,QN30",21,0.9999999999999999,High,Medium-High Risk,High confidence,0.5859760116238225,0.0,0.0,1.0,LL,False,0.5490903882656532,0.4960938527534644
BK75,3,High Opportunity,0.45418360437763,0.0,0.5893119786924087,0.0,0.3560126747681942,148071.0,0.3640980997144266,0.4757448763097474,0.5220759936008508,0.5936172458013029,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.4745150864358889,"BK63,MN03,BK37",22,1.8858216354333922e-93,Low,Medium-Low Risk,Low confidence,0.4464027145540339,0.0,0.0,1.0,LL,False,0.384504680890167,0.49276041362464906
BK63,3,High Opportunity,0.4687013029883168,0.0,0.551998343148775,0.0,0.2668281521787625,148071.0,0.3659350715955564,0.4966082301359696,0.5966783395155845,0.4911179542321418,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.4653967116627102,"BK75,QN68,BK17",23,6.033708541164354e-94,Low,Medium-Low Risk,Low confidence,0.43615272826859214,0.0,0.0,1.0,LL,False,0.3724178327695344,0.4827289151362596
